id,nama_rumah,lokasi,luas_tanah,jumlah_kamar,jumlah_lantai,tahun_bangun,harga,material_digunakan,material_utama
19,Rumah_19,Kabupaten Kuningan,200,2,3,2008,173420399,Batu Split:2018m3; Cat Dinding Nobrand:3708kg; Atap Baja Ringan:4468m2,Besi WF 150
20,Rumah_20,Kota Tasikmalaya,226,4,2,2001,200269225,Besi Beton 16mm:4820kg; Pipa PPR 1/2 inci:1521btg; Plafon Gypsum:2472m2,Batu Split
21,Rumah_21,Kabupaten Indramayu,290,1,3,2007,1671441631,Aluminium Kusen:3397m; Semen:4965sak; Granite Tile:3571m2; Batu Alam Andesit:3400m2,Plafon GRC
22,Rumah_22,Kota Cimahi,217,4,2,2024,1717545799,Cat Eksterior Jotun:3254kg; Waterproofing Coating:4508kg; Keramik Kamar Mandi:607m2; Batu Bata Merah:2936pcs,Genteng Beton
23,Rumah_23,Kabupaten Karawang,98,3,1,1998,1591981914,Genteng Metal:3487m2; Stop Kran Kuningan:2880pcs; Pipa PVC Wavin 2 1/2:3000btg; Genteng Beton:3060pcs; Hollow Galvanis 4x4:3275btg; Besi Beton 13mm:3448kg,Stop Kran Kuningan
24,Rumah_24,Kota Bandung,47,5,3,2020,1747485402,Stop Kran Kuningan:4308pcs; Plafon GRC:872m2; Semen Mortar MU-380:3696sak,Saklar + Stop Kontak Panasonic
25,Rumah_25,Kota Depok,34,5,1,2000,723332807,Bata Ringan Walbric:1927pcs; Besi Beton 19mm:2095kg; Cat Dinding Nobrand:3196kg; Keramik 60x60 Polished:2638m2,Aluminium Kusen
26,Rumah_26,Kabupaten Pangandaran,197,6,1,2004,1793634480,Stop Kran Kuningan:2217pcs; Triplek Meranti Campur:1859lbr; Plafon GRC:4770m2,Kawat Bendrat
27,Rumah_27,Kabupaten Sukabumi,335,1,1,1997,361701846,Kayu:4076kg; Batu Bata Merah:1844pcs; Batu Alam Andesit:73m2,Besi Beton 19mm
28,Rumah_28,Kabupaten Majalengka,191,3,1,2005,970087649,Waterproofing Coating:4524kg; Plafon Gypsum:3204m2; Granite Tile:1674m2; Cat Dinding Dulux:251kg; Pipa PPR 1/2 inci:260btg; Keramik 60x60 Polished:972m2,Batu Bata Merah
29,Rumah_29,Kabupaten Tasikmalaya,85,5,3,1997,1808257377,Kawat Bendrat:4197kg; Saklar + Stop Kontak Panasonic:3629set; Keramik Asia Tile:2158m2; Batu Alam Andesit:3141m2; Multipleks 18mm:2888lbr,Pipa PVC Wavin 2 1/2
30,Rumah_30,Kota Cirebon,313,2,1,2003,219926803,Genteng Beton:1595pcs; Waterproofing Coating:3754kg; Keramik Asia Tile:4234m2,Kaca
31,Rumah_31,Kabupaten Sumedang,68,5,1,1997,193312759,Besi Beton 19mm:2311kg; Semen Mortar MU-380:3854sak; Keramik Kamar Mandi:3300m2,Pasir
32,Rumah_32,Kabupaten Purwakarta,150,2,2,2021,1293654916,Batu Alam Andesit:2371m2; Genteng Beton:1790pcs; Keramik Asia Tile:498m2; Batu Split:3004m3; Cat Dinding Nobrand:187kg; Pipa PPR 1/2 inci:1613btg,Triplek Meranti Campur
33,Rumah_33,Kabupaten Bandung,320,6,2,2000,1705298034,Triplek Meranti Campur:125lbr; Pipa PPR 1/2 inci:3151btg; Bata Ringan JUMA:3122pcs; Pasir:1305m3,Semen Mortar MU-380
34,Rumah_34,Kota Bekasi,287,1,2,1995,1198135158,Batu Bata Merah:668pcs; Atap Baja Ringan:1960m2; Plafon GRC:3162m2,Keramik Kamar Mandi
35,Rumah_35,Bandung Barat,149,1,2,2016,102814991,Pipa PVC Wavin 2 1/2:254btg; Granite Tile:4273m2; Keramik Asia Tile:1933m2; Bata Ringan JUMA:2118pcs; Bata Ringan Walbric:2002pcs; Plafon GRC:106m2,Cat Eksterior Jotun
36,Rumah_36,Kota Bogor,102,6,1,2000,1386927517,Batu Bata Merah:1208pcs; Bata Ringan JUMA:60pcs; Besi Beton 19mm:2964kg; Waterproofing Coating:2771kg; Keramik Kamar Mandi:910m2; Pipa PPR 1/2 inci:4929btg,Pipa PPR 1/2 inci
37,Rumah_37,Kabupaten Ciamis,32,5,2,2012,333259504,Genteng Metal:423m2; Kabel NYM 2x1.5:201m; Atap Baja Ringan:2937m2,Kabel NYY 4x10
38,Rumah_38,Kabupaten Cianjur,339,1,3,2025,236700895,Bata Ringan JUMA:1068pcs; Granite Tile:3119m2; Pipa PVC Wavin 3:4060btg,Multipleks 18mm
39,Rumah_39,Kabupaten Cirebon,315,1,3,2016,438793795,Cat Dinding Dulux:3357kg; Atap Baja Ringan:925m2; Bata Ringan Walbric:1370pcs; Pasir:1437m3,Waterproofing Coating
40,Rumah_40,Kabupaten Garut,120,3,1,2004,1100202556,Kaca:93m2; Aluminium Kusen:2225m; Semen:2610sak; Keramik Kamar Mandi:2554m2; Triplek Meranti Campur:4969lbr,Besi Beton 16mm
41,Rumah_41,Kabupaten Subang,195,4,2,2009,405674988,Keramik Asia Tile:1744m2; Pipa PPR 1/2 inci:684btg; Plafon GRC:3228m2; Besi Beton 13mm:4315kg; Cat Dinding Nobrand:1797kg; Batu Bata Merah:1301pcs,Bata Ringan JUMA
42,Rumah_42,Kabupaten Bandung Barat,171,6,3,2005,1202833660,Pipa PVC Wavin 3:2503btg; Keramik 60x60 Polished:4058m2; Bata Ringan Walbric:3265pcs; Batu Split:2456m3,Kayu
43,Rumah_43,Kabupaten Bekasi,80,1,1,2003,1543155037,Semen Mortar MU-380:2688sak; Stop Kran Kuningan:2205pcs; Semen:1338sak; Pasir:1944m3; Besi Beton 19mm:3870kg,Keramik Asia Tile
44,Rumah_44,Bandung Timur,266,2,3,2011,1878828813,Keramik 60x60 Polished:1773m2; Genteng Metal:1245m2; Waterproofing Coating:1160kg; Besi Beton 19mm:4565kg,Cat Dinding Nobrand
45,Rumah_45,Kabupaten Bogor,255,6,2,2016,920925340,Genteng Beton:992pcs; Pipa PPR 1/2 inci:3859btg; Stop Kran Kuningan:1141pcs,Granite Tile
46,Rumah_46,Kota Banjar,172,4,1,2003,1144495970,Waterproofing Coating:1225kg; Kabel NYM 2x1.5:414m; Batu Bata Merah:1512pcs; Keramik Kamar Mandi:658m2; Aluminium Kusen:2138m; Cat Dinding Dulux:2134kg,Hollow Galvanis 4x4
47,Rumah_47,Kota Sukabumi,188,1,2,2007,1868896242,Granite Tile:3352m2; Plafon GRC:3896m2; Pipa PPR 1/2 inci:1569btg,Keramik 60x60 Polished
48,Rumah_48,Kabupaten Kuningan,296,4,1,2017,1724965588,Triplek Meranti Campur:2488lbr; Keramik Asia Tile:1665m2; Cat Dinding Nobrand:3261kg; Bata Ringan Walbric:703pcs; Bata Ringan JUMA:3765pcs,Plafon Gypsum
49,Rumah_49,Kota Tasikmalaya,274,2,1,2017,1604019804,Bata Ringan Walbric:4795pcs; Semen:1515sak; Stop Kran Kuningan:467pcs; Batu Split:172m3; Multipleks 18mm:793lbr; Granite Tile:984m2,Genteng Metal
50,Rumah_50,Kabupaten Indramayu,325,3,1,2002,660029259,Kawat Bendrat:559kg; Cat Eksterior Jotun:1451kg; Genteng Metal:3480m2; Keramik 60x60 Polished:309m2; Batu Bata Merah:3577pcs,Kabel NYM 2x1.5
51,Rumah_51,Kota Cimahi,324,5,3,2025,692273908,Kayu:1099kg; Triplek Meranti Campur:2180lbr; Stop Kran Kuningan:3667pcs,Batu Alam Andesit
52,Rumah_52,Kabupaten Karawang,123,1,3,1998,1434817314,Kayu:3780kg; Semen Mortar MU-380:1734sak; Pipa PVC Wavin 2 1/2:2189btg; Kabel NYM 2x1.5:131m,Pintu Kayu Solid
53,Rumah_53,Kota Bandung,177,4,3,2004,589351547,Keramik 60x60 Polished:2724m2; Keramik Kamar Mandi:752m2; Pasir:4176m3; Cat Eksterior Jotun:1122kg; Pintu Kayu Solid:4134pcs,Besi Beton 13mm
54,Rumah_54,Kota Depok,176,2,2,2004,228971476,Saklar + Stop Kontak Panasonic:4596set; Besi Beton 13mm:2080kg; Waterproofing Coating:1460kg,Bata Ringan Walbric
55,Rumah_55,Kabupaten Pangandaran,129,5,3,2002,1330501558,Atap Baja Ringan:1751m2; Keramik 60x60 Polished:3630m2; Aluminium Kusen:3667m,Atap Baja Ringan
56,Rumah_56,Kabupaten Sukabumi,280,6,1,2008,1374367300,Kaca:2958m2; Keramik Kamar Mandi:4128m2; Cat Dinding Dulux:1846kg,Pipa PVC Wavin 3
57,Rumah_57,Kabupaten Majalengka,157,4,2,2014,1855599787,Cat Eksterior Jotun:3519kg; Keramik 60x60 Polished:2178m2; Pasir:125m3; Pintu Kayu Solid:2912pcs,Cat Dinding Dulux
58,Rumah_58,Kabupaten Tasikmalaya,78,5,3,2000,451111274,Aluminium Kusen:4129m; Pipa PVC Wavin 2 1/2:1283btg; Cat Dinding Dulux:1702kg; Atap Baja Ringan:411m2; Multipleks 18mm:620lbr,Semen
59,Rumah_59,Kota Cirebon,194,2,3,2005,1368749749,Atap Baja Ringan:4786m2; Waterproofing Coating:113kg; Semen:3473sak,Besi WF 150
60,Rumah_60,Kabupaten Sumedang,61,4,2,2024,906306023,Cat Dinding Dulux:1207kg; Besi Beton 16mm:759kg; Besi Beton 19mm:4950kg; Pipa PVC Wavin 2 1/2:1378btg,Batu Split
61,Rumah_61,Kabupaten Purwakarta,191,1,1,2003,842339894,Semen Mortar MU-380:895sak; Pipa PVC Wavin 2 1/2:105btg; Plafon GRC:3322m2; Keramik 60x60 Polished:1098m2; Multipleks 18mm:3042lbr,Plafon GRC
62,Rumah_62,Kabupaten Bandung,158,6,3,2012,816067224,Pasir:654m3; Keramik 60x60 Polished:373m2; Kabel NYY 4x10:4577m,Genteng Beton
63,Rumah_63,Kota Bekasi,104,6,2,2009,1543457947,Pipa PVC Wavin 3:4683btg; Batu Alam Andesit:1985m2; Plafon Gypsum:4979m2; Kawat Bendrat:3064kg,Stop Kran Kuningan
64,Rumah_64,Bandung Barat,157,2,3,1998,805031786,Kawat Bendrat:1774kg; Bata Ringan Walbric:4001pcs; Keramik Kamar Mandi:814m2; Multipleks 18mm:1143lbr,Saklar + Stop Kontak Panasonic
65,Rumah_65,Kota Bogor,263,2,1,2004,231290694,Keramik Kamar Mandi:575m2; Cat Dinding Dulux:1502kg; Kawat Bendrat:4130kg,Aluminium Kusen
66,Rumah_66,Kabupaten Ciamis,136,3,3,2008,1661253413,Saklar + Stop Kontak Panasonic:2431set; Pipa PPR 1/2 inci:4631btg; Aluminium Kusen:4894m; Plafon Gypsum:1257m2; Kabel NYY 4x10:467m; Batu Alam Andesit:3354m2,Kawat Bendrat
67,Rumah_67,Kabupaten Cianjur,75,4,2,2025,1612151010,Besi WF 150:2511btg; Plafon GRC:4627m2; Kaca:2672m2,Besi Beton 19mm
68,Rumah_68,Kabupaten Cirebon,291,6,2,2017,1266525625,Kabel NYM 2x1.5:4608m; Cat Dinding Nobrand:508kg; Genteng Beton:1797pcs; Kabel NYY 4x10:2222m; Keramik Kamar Mandi:3535m2; Stop Kran Kuningan:2535pcs,Batu Bata Merah
69,Rumah_69,Kabupaten Garut,215,1,3,2008,1368624574,Pipa PVC Wavin 3:1047btg; Pintu Kayu Solid:4197pcs; Kabel NYY 4x10:1575m; Kabel NYM 2x1.5:4098m; Bata Ringan JUMA:4040pcs,Pipa PVC Wavin 2 1/2
70,Rumah_70,Kabupaten Subang,161,5,1,2005,854758987,Batu Bata Merah:1673pcs; Stop Kran Kuningan:3531pcs; Besi Beton 13mm:569kg; Batu Split:1868m3; Pipa PVC Wavin 3:4209btg,Kaca
71,Rumah_71,Kabupaten Bandung Barat,151,3,3,1998,607615212,Kabel NYM 2x1.5:368m; Genteng Metal:4997m2; Saklar + Stop Kontak Panasonic:489set,Pasir
72,Rumah_72,Kabupaten Bekasi,215,2,1,2023,679724361,Plafon GRC:3736m2; Besi Beton 16mm:1373kg; Plafon Gypsum:616m2; Triplek Meranti Campur:3508lbr; Cat Dinding Nobrand:4973kg; Batu Bata Merah:4083pcs,Triplek Meranti Campur
73,Rumah_73,Bandung Timur,41,5,2,2015,1497044463,Besi Beton 13mm:4750kg; Keramik Kamar Mandi:312m2; Pintu Kayu Solid:3897pcs; Bata Ringan JUMA:3498pcs; Batu Alam Andesit:1820m2,Semen Mortar MU-380
74,Rumah_74,Kabupaten Bogor,91,4,2,1999,1071796221,Semen Mortar MU-380:911sak; Kaca:3884m2; Bata Ringan Walbric:3968pcs; Pipa PVC Wavin 2 1/2:1562btg; Bata Ringan JUMA:3793pcs; Stop Kran Kuningan:3196pcs,Keramik Kamar Mandi
75,Rumah_75,Kota Banjar,242,1,1,2012,1774092088,Besi Beton 19mm:4817kg; Cat Dinding Nobrand:1406kg; Kawat Bendrat:2619kg; Kabel NYY 4x10:2662m; Besi WF 150:974btg; Batu Alam Andesit:480m2,Cat Eksterior Jotun
76,Rumah_76,Kota Sukabumi,240,6,3,1995,1705645221,Pipa PVC Wavin 3:431btg; Besi Beton 19mm:3758kg; Kabel NYM 2x1.5:4501m; Kawat Bendrat:1168kg; Granite Tile:4971m2,Pipa PPR 1/2 inci
77,Rumah_77,Kabupaten Kuningan,52,1,1,2011,1194612865,Pasir:3707m3; Batu Split:1850m3; Keramik 60x60 Polished:2998m2,Kabel NYY 4x10
78,Rumah_78,Kota Tasikmalaya,101,5,1,2025,1013002271,Pipa PVC Wavin 2 1/2:2324btg; Genteng Metal:464m2; Plafon GRC:2141m2,Multipleks 18mm
79,Rumah_79,Kabupaten Indramayu,92,4,3,2011,1885296431,Bata Ringan Walbric:3660pcs; Keramik Asia Tile:3846m2; Waterproofing Coating:3596kg; Kabel NYM 2x1.5:4705m; Genteng Beton:1187pcs; Batu Split:2952m3,Waterproofing Coating
80,Rumah_80,Kota Cimahi,256,1,2,2013,215066988,Multipleks 18mm:3225lbr; Triplek Meranti Campur:2631lbr; Bata Ringan JUMA:3074pcs; Pipa PVC Wavin 2 1/2:2617btg; Plafon GRC:831m2; Cat Dinding Dulux:1154kg,Besi Beton 16mm
81,Rumah_81,Kabupaten Karawang,335,2,2,2009,360022457,Hollow Galvanis 4x4:2777btg; Kabel NYY 4x10:2896m; Bata Ringan JUMA:1978pcs; Aluminium Kusen:1443m; Cat Dinding Dulux:2846kg; Kabel NYM 2x1.5:306m,Bata Ringan JUMA
82,Rumah_82,Kota Bandung,146,5,2,2005,1475881921,Batu Alam Andesit:2289m2; Besi Beton 19mm:434kg; Pipa PPR 1/2 inci:702btg; Triplek Meranti Campur:3848lbr,Kayu
83,Rumah_83,Kota Depok,91,5,3,2023,479816050,Besi WF 150:1817btg; Stop Kran Kuningan:1423pcs; Keramik 60x60 Polished:1762m2; Semen Mortar MU-380:3964sak,Keramik Asia Tile
84,Rumah_84,Kabupaten Pangandaran,131,6,1,2019,544094834,Cat Eksterior Jotun:2022kg; Genteng Beton:4595pcs; Stop Kran Kuningan:1781pcs,Cat Dinding Nobrand
85,Rumah_85,Kabupaten Sukabumi,176,6,1,2010,358273787,Aluminium Kusen:626m; Kayu:696kg; Atap Baja Ringan:543m2; Batu Split:62m3; Pipa PVC Wavin 3:2778btg,Granite Tile
86,Rumah_86,Kabupaten Majalengka,267,3,1,2024,1115590109,Semen Mortar MU-380:3939sak; Kabel NYM 2x1.5:4642m; Kaca:3745m2; Keramik 60x60 Polished:1993m2; Cat Dinding Dulux:2946kg; Hollow Galvanis 4x4:884btg,Hollow Galvanis 4x4
87,Rumah_87,Kabupaten Tasikmalaya,144,2,3,2008,870699729,Besi Beton 16mm:2703kg; Hollow Galvanis 4x4:1678btg; Plafon GRC:228m2; Cat Dinding Dulux:2256kg,Keramik 60x60 Polished
88,Rumah_88,Kota Cirebon,261,3,1,2022,556041198,Batu Split:2904m3; Cat Eksterior Jotun:4529kg; Pipa PVC Wavin 2 1/2:2182btg; Semen Mortar MU-380:774sak; Granite Tile:3029m2; Keramik 60x60 Polished:1606m2,Plafon Gypsum
89,Rumah_89,Kabupaten Sumedang,162,3,1,2018,916618859,Pipa PPR 1/2 inci:2851btg; Saklar + Stop Kontak Panasonic:1156set; Waterproofing Coating:477kg; Plafon Gypsum:661m2; Genteng Metal:669m2,Genteng Metal
90,Rumah_90,Kabupaten Purwakarta,288,5,1,1995,1641115796,Pipa PVC Wavin 3:4083btg; Plafon Gypsum:306m2; Keramik Kamar Mandi:4976m2; Pasir:2876m3; Bata Ringan JUMA:2568pcs; Batu Bata Merah:2573pcs,Kabel NYM 2x1.5
91,Rumah_91,Kabupaten Bandung,232,5,3,2004,168489167,Besi Beton 19mm:1617kg; Triplek Meranti Campur:1876lbr; Keramik 60x60 Polished:2797m2; Waterproofing Coating:4434kg; Aluminium Kusen:4260m,Batu Alam Andesit
92,Rumah_92,Kota Bekasi,179,6,3,2015,1123919799,Granite Tile:3418m2; Pasir:385m3; Pipa PVC Wavin 3:2214btg; Kawat Bendrat:3466kg; Hollow Galvanis 4x4:1338btg; Bata Ringan JUMA:4411pcs,Pintu Kayu Solid
93,Rumah_93,Bandung Barat,218,2,1,2010,1195882387,Waterproofing Coating:70kg; Plafon Gypsum:4047m2; Keramik Kamar Mandi:4869m2; Keramik Asia Tile:4575m2; Genteng Metal:4364m2,Besi Beton 13mm
94,Rumah_94,Kota Bogor,222,3,2,2017,263321753,Stop Kran Kuningan:3255pcs; Bata Ringan Walbric:185pcs; Kabel NYM 2x1.5:2831m; Semen Mortar MU-380:4126sak; Kabel NYY 4x10:2423m,Bata Ringan Walbric
95,Rumah_95,Kabupaten Ciamis,37,4,3,2008,350775028,Cat Dinding Nobrand:3427kg; Kayu:4732kg; Semen:1473sak; Kawat Bendrat:4257kg,Atap Baja Ringan
96,Rumah_96,Kabupaten Cianjur,225,3,1,1997,941690678,Kayu:2262kg; Cat Eksterior Jotun:63kg; Stop Kran Kuningan:3386pcs; Multipleks 18mm:4428lbr; Batu Bata Merah:1320pcs; Hollow Galvanis 4x4:3199btg,Pipa PVC Wavin 3
97,Rumah_97,Kabupaten Cirebon,256,4,1,2017,1577701772,Besi Beton 16mm:4094kg; Genteng Beton:4529pcs; Kawat Bendrat:4842kg,Cat Dinding Dulux
98,Rumah_98,Kabupaten Garut,162,5,2,2024,1777745779,Granite Tile:4474m2; Saklar + Stop Kontak Panasonic:4279set; Hollow Galvanis 4x4:3555btg; Aluminium Kusen:1917m,Semen
99,Rumah_99,Kabupaten Subang,233,3,2,2008,1431654756,Semen:340sak; Kawat Bendrat:4429kg; Keramik Asia Tile:894m2; Kabel NYM 2x1.5:2456m; Genteng Metal:3073m2; Kayu:3600kg,Besi WF 150
100,Rumah_100,Kabupaten Bandung Barat,69,6,2,2020,232938487,Pasir:383m3; Kabel NYY 4x10:3426m; Pipa PVC Wavin 2 1/2:1130btg,Batu Split
101,Rumah_101,Kabupaten Bekasi,72,2,3,1997,1802879765,Cat Eksterior Jotun:1231kg; Keramik Kamar Mandi:4646m2; Cat Dinding Nobrand:1274kg; Kaca:4948m2; Keramik Asia Tile:3286m2,Plafon GRC
102,Rumah_102,Bandung Timur,104,6,3,2001,332873892,Pipa PVC Wavin 2 1/2:1648btg; Waterproofing Coating:2401kg; Saklar + Stop Kontak Panasonic:1431set; Cat Eksterior Jotun:2111kg; Keramik Asia Tile:4441m2,Genteng Beton
103,Rumah_103,Kabupaten Bogor,49,2,2,2009,1035207528,Stop Kran Kuningan:1220pcs; Pipa PPR 1/2 inci:3257btg; Pipa PVC Wavin 3:4204btg; Cat Dinding Dulux:3410kg; Batu Bata Merah:2885pcs; Keramik Asia Tile:1281m2,Stop Kran Kuningan
104,Rumah_104,Kota Banjar,147,2,2,2004,1296071519,Hollow Galvanis 4x4:635btg; Batu Split:3202m3; Atap Baja Ringan:2167m2; Granite Tile:4861m2; Semen Mortar MU-380:2706sak,Saklar + Stop Kontak Panasonic
105,Rumah_105,Kota Sukabumi,102,4,3,2021,1302824360,Batu Bata Merah:1034pcs; Triplek Meranti Campur:90lbr; Saklar + Stop Kontak Panasonic:1306set,Aluminium Kusen
106,Rumah_106,Kabupaten Kuningan,47,4,3,2005,178692806,Cat Eksterior Jotun:1831kg; Batu Split:980m3; Bata Ringan Walbric:761pcs; Stop Kran Kuningan:1293pcs; Cat Dinding Nobrand:2438kg; Besi Beton 13mm:237kg,Kawat Bendrat
107,Rumah_107,Kota Tasikmalaya,85,1,2,2006,1163104452,Cat Eksterior Jotun:3414kg; Semen Mortar MU-380:627sak; Saklar + Stop Kontak Panasonic:70set; Keramik Asia Tile:2883m2,Besi Beton 19mm
108,Rumah_108,Kabupaten Indramayu,314,3,3,2006,917163540,Multipleks 18mm:1330lbr; Besi WF 150:3086btg; Pipa PPR 1/2 inci:696btg; Aluminium Kusen:2435m,Batu Bata Merah
109,Rumah_109,Kota Cimahi,182,5,2,2007,986220094,Batu Bata Merah:1630pcs; Stop Kran Kuningan:3031pcs; Bata Ringan JUMA:1721pcs; Batu Alam Andesit:629m2; Besi Beton 16mm:430kg; Kawat Bendrat:3427kg,Pipa PVC Wavin 2 1/2
110,Rumah_110,Kabupaten Karawang,124,3,3,2004,1799493252,Cat Dinding Nobrand:788kg; Batu Bata Merah:4429pcs; Besi Beton 13mm:3721kg; Plafon Gypsum:2114m2; Besi WF 150:3489btg; Genteng Beton:4957pcs,Kaca
111,Rumah_111,Kota Bandung,41,6,2,2023,1042306646,Cat Dinding Dulux:3713kg; Keramik 60x60 Polished:734m2; Pipa PVC Wavin 3:4179btg; Keramik Kamar Mandi:1585m2,Pasir
112,Rumah_112,Kota Depok,35,3,2,2025,377794746,Bata Ringan JUMA:607pcs; Granite Tile:4668m2; Saklar + Stop Kontak Panasonic:2773set; Besi Beton 19mm:1407kg; Genteng Beton:3112pcs,Triplek Meranti Campur
113,Rumah_113,Kabupaten Pangandaran,326,5,2,2012,1627726054,Bata Ringan Walbric:998pcs; Cat Dinding Nobrand:194kg; Bata Ringan JUMA:1373pcs,Semen Mortar MU-380
114,Rumah_114,Kabupaten Sukabumi,84,3,1,2016,271139575,Genteng Metal:214m2; Waterproofing Coating:2033kg; Pintu Kayu Solid:3400pcs; Kabel NYY 4x10:3574m; Genteng Beton:2944pcs,Keramik Kamar Mandi
115,Rumah_115,Kabupaten Majalengka,291,4,1,2007,921577841,Semen Mortar MU-380:217sak; Besi Beton 19mm:4724kg; Cat Dinding Nobrand:370kg; Plafon Gypsum:4792m2; Triplek Meranti Campur:1828lbr,Cat Eksterior Jotun
116,Rumah_116,Kabupaten Tasikmalaya,99,5,2,2013,1258985016,Hollow Galvanis 4x4:1148btg; Saklar + Stop Kontak Panasonic:1273set; Besi Beton 13mm:1162kg; Atap Baja Ringan:4435m2; Pipa PVC Wavin 3:298btg; Batu Alam Andesit:4544m2,Pipa PPR 1/2 inci
117,Rumah_117,Kota Cirebon,81,6,1,2000,1675278152,Batu Alam Andesit:4772m2; Bata Ringan Walbric:3863pcs; Hollow Galvanis 4x4:2392btg; Batu Split:2425m3; Plafon Gypsum:1938m2; Keramik Kamar Mandi:3064m2,Kabel NYY 4x10
118,Rumah_118,Kabupaten Sumedang,286,1,2,2014,1046954710,Aluminium Kusen:4363m; Multipleks 18mm:836lbr; Besi Beton 19mm:4480kg; Kaca:1522m2,Multipleks 18mm
